"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"R433,R421,R441,R515,R417,R533,R537,R439,R435,R517,R532,R509,R431,R527,R437,R423,R415,R425,R525,R504,R429,R419,R522";"R_0805_2012Metric";23;"100k";;;
2;"U405,U402,U403,U201,U301";"SOIC-24W_7.5x15.4mm_P1.27mm";5;"MAX7221xWG";;;
3;"Q409,Q404,Q505,Q401,Q501,Q412,Q413,Q408,Q402,Q503,Q410,Q407,Q510,Q406,Q502,Q504,Q405,Q509,Q403,Q506,Q507,Q511,Q411";"SOT-23";23;"BSS138";;;
4;"C513,C504,C507,C516";"C_0805_2012Metric";4;"1µ";;;
5;"R519,R438,R436,R512,R440,R529,R521,R418,R506,R507,R523,R516,R536,R414,R511,R514,R505,R424,R518,R513,R508,R416,R430,R502,R528,R503,R432,R422,R434,R420,R520,R535,R426,R501";"R_0805_2012Metric";34;"10k";;;
6;"D506,D505";"SOT-23";2;"BAV199";;;
7;"C522,C523,C403,C404,C201,C401,C502,C521,C508,C526,C301,C506,C402,C525,C518,C515,C505,C514,C524";"C_0805_2012Metric";19;"100n";;;
8;"J501";"BarrelJack_Horizontal";1;"Jack-DC";;;
9;"C510,C512,C511,C509";"C_0805_2012Metric";4;"20p";;;
10;"C503";"CP_Elec_5x5.8";1;"100µ";;;
11;"D501";"D_MiniMELF";1;"LL4148";;;
12;"U404,U401";"SO-16_3.9x9.9mm_P1.27mm";2;"74HC595";;;
13;"R409,R404,R401,R413,R406,R407,R411,R403,R402,R405,R412,R408,R410";"R_0805_2012Metric";13;"R";;;
14;"J504";"USB_B_OST_USB-B1HSxx_Horizontal";1;"USB_B";;;
15;"J502";"PinHeader_1x04_P2.54mm_Vertical";1;"DCF77 Antenna";;;
16;"U502";"SOT-223-3_TabPin2";1;"AZ1117-3.3";;;
17;"R526,R524";"R_0805_2012Metric";2;"1k";;;
18;"Q508";"SOT-23";1;"BC856";;;
19;"R534,R531";"R_0805_2012Metric";2;"22";;;
20;"R428,R201,R442,R427,R301";"R_0805_2012Metric";5;"20k";;;
21;"C517";"CP_Elec_5x5.8";1;"10µ";;;
22;"R530";"R_0805_2012Metric";1;"1k5";;;
23;"D502";"D_MELF";1;"SM4007";;;
24;"C501";"CP_Elec_10x10.5";1;"0.22F/5V5";;;
25;"Y501";"Crystal_SMD_HC49-SD";1;"8MHz";;;
26;"J503";"PinHeader_1x04_P2.54mm_Horizontal";1;"SWD";;;
27;"FB502,FB501";"SMB-001";2;"FerriteBead";;;
28;"U503";"LQFP-48_7x7mm_P0.5mm";1;"STM32F103C8Tx";;;
29;"R510";"R_0805_2012Metric";1;"1M";;;
30;"C520,C519";"C_0805_2012Metric";2;"47p";;;
31;"U501";"TO-252-2";1;"L7805";;;
32;"Y502";"Crystal_SMD_SeikoEpson_MC306-4Pin_8.0x3.2mm";1;"32.768kHz";;;
33;"D356,D355,D249,D343,D241,D254,D319,D358,D316,D322,D359,D306,D339,D238,D317,D309,D312,D346,D328,D232,D323,D209,D349,D303,D334,D318,D253,D217,D353,D240,D257,D215,D301,D352,D202,D220,D302,D250,D326,D218,D251,D325,D206,D216,D340,D341,D227,D308,D212,D234,D320,D324,D256,D333,D336,D229,D304,D357,D348,D305,D311,D342,D314,D252,D243,D313,D237,D235,D354,D219,D246,D223,D231,D230,D204,D242,D225,D210,D213,D208,D224,D329,D233,D203,D321,D332,D331,D236,D248,D259,D255,D315,D222,D201,D207,D307,D347,D350,D337,D247,D211,D239,D228,D226,D338,D327,D245,D344,D330,D205,D221,D335,D244,D351,D258,D345,D214,D310";"LED_0603_1608Metric";118;"LED";;;
34;"AFF406,AFF419,AFF411,AFF403,AFF409,AFF414,AFF412,AFF408,AFF415,AFF420,AFF402,AFF407,AFF417,AFF410,AFF418,AFF405,AFF416,AFF401,AFF404,AFF413";"7_Segment_SMD";20;"LTS-6980HR";;;
35;"D504";"LED_0603_1608Metric";1;"SIG";;;
36;"D401";"LED_0603_1608Metric";1;"Mo";;;
37;"D407";"LED_0603_1608Metric";1;"So";;;
38;"D403";"LED_0603_1608Metric";1;"Mi";;;
39;"D404";"LED_0603_1608Metric";1;"Do";;;
40;"D405";"LED_0603_1608Metric";1;"Fr";;;
41;"D409";"LED_0603_1608Metric";1;"CEST";;;
42;"D408";"LED_0603_1608Metric";1;"CET";;;
43;"D406";"LED_0603_1608Metric";1;"Sa";;;
44;"D503";"LED_0603_1608Metric";1;"RTC";;;
45;"D410";"LED_0603_1608Metric";1;"P1";;;
46;"D413";"LED_0603_1608Metric";1;"PE";;;
47;"D402";"LED_0603_1608Metric";1;"Di";;;
48;"D412";"LED_0603_1608Metric";1;"P3";;;
49;"D411";"LED_0603_1608Metric";1;"P2";;;
