Designator,Footprint,Quantity,Value,LCSC Part #
"AFF401, AFF402, AFF403, AFF404, AFF405, AFF406, AFF407, AFF408, AFF409, AFF410, AFF411, AFF412, AFF413, AFF414, AFF415, AFF416, AFF417, AFF418, AFF419, AFF420",7_Segment_SMD,20,LTS-6980HR,
C1,C_0805_2012Metric,1,4µ7,
"C201, C301, C401, C402, C403, C404, C502, C505, C506, C508, C514, C515, C518, C521, C522, C523, C524, C525, C526",C_0805_2012Metric,19,100n,
C501,CP_Elec_10x10.5,1,0.22F/5V5,
C503,CP_Elec_5x5.8,1,100µ,
"C504, C507, C513, C516",C_0805_2012Metric,4,1µ,
"C509, C510, C511, C512",C_0805_2012Metric,4,20p,
C517,CP_Elec_5x5.8,1,10µ,
"C519, C520",C_0805_2012Metric,2,47p,
"D201, D202, D203, D204, D205, D206, D207, D208, D209, D210, D211, D212, D213, D214, D215, D216, D217, D218, D219, D220, D221, D222, D223, D224, D225, D226, D227, D228, D229, D230, D231, D232, D233, D234, D235, D236, D237, D238, D239, D240, D241, D242, D243, D244, D245, D246, D247, D248, D249, D250, D251, D252, D253, D254, D255, D256, D257, D258, D259, D301, D302, D303, D304, D305, D306, D307, D308, D309, D310, D311, D312, D313, D314, D315, D316, D317, D318, D319, D320, D321, D322, D323, D324, D325, D326, D327, D328, D329, D330, D331, D332, D333, D334, D335, D336, D337, D338, D339, D340, D341, D342, D343, D344, D345, D346, D347, D348, D349, D350, D351, D352, D353, D354, D355, D356, D357, D358, D359",LED_0603_1608Metric,118,LED,
D401,LED_0603_1608Metric,1,Mo,
D402,LED_0603_1608Metric,1,Di,
D403,LED_0603_1608Metric,1,Mi,
D404,LED_0603_1608Metric,1,Do,
D405,LED_0603_1608Metric,1,Fr,
D406,LED_0603_1608Metric,1,Sa,
D407,LED_0603_1608Metric,1,So,
D408,LED_0603_1608Metric,1,CET,
D409,LED_0603_1608Metric,1,CEST,
D410,LED_0603_1608Metric,1,P1,
D411,LED_0603_1608Metric,1,P2,
D412,LED_0603_1608Metric,1,P3,
D413,LED_0603_1608Metric,1,PE,
D501,D_MiniMELF,1,LL4148,
D502,D_MELF,1,SM4007,
D503,LED_0603_1608Metric,1,RTC,
D504,LED_0603_1608Metric,1,SIG,
"D505, D506",SOT-23,2,BAV199,
"FB501, FB502",SMB-001,2,FerriteBead,
J501,BarrelJack_Horizontal,1,Jack-DC,
J502,PinHeader_1x04_P2.54mm_Vertical,1,DCF77 Antenna,
J503,PinHeader_1x04_P2.54mm_Horizontal,1,SWD,
J504,USB_B_OST_USB-B1HSxx_Horizontal,1,USB_B,
"Q401, Q402, Q403, Q404, Q405, Q406, Q407, Q408, Q409, Q410, Q411, Q412, Q413, Q501, Q502, Q503, Q504, Q505, Q506, Q507, Q509, Q510, Q511",SOT-23,23,BSS138,
Q508,SOT-23,1,BC856,
"R201, R301, R427, R428, R442",R_0805_2012Metric,5,20k,
"R401, R402, R403, R404, R405, R406, R407, R408, R409, R410, R411, R412, R413",R_0805_2012Metric,13,R,
"R414, R416, R418, R420, R422, R424, R426, R430, R432, R434, R436, R438, R440, R501, R502, R503, R506, R508, R511, R512, R513, R514, R516, R518, R519, R520, R521, R523, R528, R529, R535, R536",R_0805_2012Metric,32,10k,
"R415, R417, R419, R421, R423, R425, R429, R431, R433, R435, R437, R439, R441, R504, R509, R515, R517, R522, R525, R527, R532, R533, R537",R_0805_2012Metric,23,100k,
R505,R_0805_2012Metric,1,100,
"R507, R524, R526",R_0805_2012Metric,3,1k,
R510,R_0805_2012Metric,1,1M,
R530,R_0805_2012Metric,1,1k5,
"R531, R534",R_0805_2012Metric,2,22,
"U201, U301, U402, U403, U405",SOIC-24W_7.5x15.4mm_P1.27mm,5,MAX7221xWG,
"U401, U404",SO-16_3.9x9.9mm_P1.27mm,2,74HC595,
U501,TO-263-2,1,L7805,
U502,SOT-223-3_TabPin2,1,AZ1117-3.3,
U503,LQFP-48_7x7mm_P0.5mm,1,STM32F103C8Tx,
Y501,Crystal_SMD_HC49-SD,1,8MHz,
Y502,Crystal_SMD_SeikoEpson_MC306-4Pin_8.0x3.2mm,1,32.768kHz,
