Designator,Mid X,Mid Y,Rotation,Layer
AFF401,73.31,-52.07,180.0,bottom
AFF402,73.31,-78.74,180.0,bottom
AFF403,65.69,-52.07,180.0,bottom
AFF404,65.69,-78.74,180.0,bottom
AFF405,58.07,-52.07,180.0,bottom
AFF406,58.07,-78.74,180.0,bottom
AFF407,50.45,-52.07,180.0,bottom
AFF408,50.45,-78.74,180.0,bottom
AFF409,42.83,-52.07,180.0,bottom
AFF410,42.83,-78.74,180.0,bottom
AFF411,35.21,-52.07,180.0,bottom
AFF412,35.21,-78.74,180.0,bottom
AFF413,58.07,-105.41,180.0,bottom
AFF414,50.45,-105.41,180.0,bottom
AFF415,42.83,-105.41,180.0,bottom
AFF416,35.21,-105.41,180.0,bottom
AFF417,50.45,-132.08,180.0,bottom
AFF418,42.83,-132.08,180.0,bottom
AFF419,35.21,-132.08,180.0,bottom
AFF420,35.21,-157.48,180.0,bottom
C1,110.744,-45.72,180.0,top
C201,130.998,-121.854,0.0,top
C301,146.812,-74.422,0.0,top
C401,49.022,-65.786,90.0,top
C402,70.866,-116.332,0.0,top
C403,89.916,-51.562,0.0,top
C404,89.916,-64.008,0.0,top
C501,138.684,-59.69,0.0,top
C502,125.73,-60.706,-90.0,top
C503,154.0,-82.0,0.0,top
C504,162.306,-98.806,0.0,top
C505,162.306,-96.774,0.0,top
C506,165.862,-96.774,180.0,top
C507,165.862,-98.806,180.0,top
C508,111.506,-40.894,90.0,top
C509,100.33,-55.88,0.0,top
C510,103.886,-55.88,180.0,top
C511,106.299,-44.704,0.0,top
C512,101.219,-44.704,180.0,top
C513,149.352,-27.686,-90.0,top
C514,147.32,-27.686,-90.0,top
C515,136.144,-26.924,90.0,top
C516,136.144,-31.496,-90.0,top
C517,158.25,-27.75,90.0,top
C518,156.464,-53.086,180.0,top
C519,141.986,-44.45,-90.0,top
C520,141.986,-40.894,90.0,top
C521,49.276,-38.862,90.0,top
C522,128.016,-26.416,0.0,top
C523,108.966,-53.594,180.0,top
C524,110.744,-48.26,180.0,top
C525,121.92,-56.896,0.0,top
C526,121.92,-48.26,0.0,top
D201,123.0,-98.0,-90.0,bottom
D202,120.4,-98.1,-84.0,bottom
D203,117.8,-98.5,-78.0,bottom
D204,115.3,-99.2,-72.0,bottom
D205,112.8,-100.1,-66.0,bottom
D206,110.5,-101.3,-60.0,bottom
D207,108.3,-102.8,-54.0,bottom
D208,106.2,-104.4,-48.0,bottom
D209,104.4,-106.3,-42.0,bottom
D210,102.8,-108.3,-36.0,bottom
D211,101.3,-110.5,-30.0,bottom
D212,100.1,-112.8,-24.0,bottom
D213,99.3,-115.3,-18.0,bottom
D214,98.6,-117.8,-12.0,bottom
D215,98.1,-120.4,-6.0,bottom
D216,98.0,-123.0,0.0,bottom
D217,98.1,-125.6,6.0,bottom
D218,98.5,-128.2,12.0,bottom
D219,99.2,-130.7,18.0,bottom
D220,100.2,-133.2,24.0,bottom
D221,101.3,-135.5,30.0,bottom
D222,102.8,-137.7,36.0,bottom
D223,104.4,-139.7,42.0,bottom
D224,106.3,-141.6,48.0,bottom
D225,108.3,-143.2,54.0,bottom
D226,110.5,-144.6,60.0,bottom
D227,112.8,-145.8,66.0,bottom
D228,115.3,-146.8,72.0,bottom
D229,117.8,-147.4,78.0,bottom
D230,120.417686,-147.883184,84.0,bottom
D231,123.0,-148.0,90.0,bottom
D232,125.6,-147.9,96.0,bottom
D233,128.2,-147.5,102.0,bottom
D234,130.7,-146.8,108.0,bottom
D235,133.2,-145.8,114.0,bottom
D236,135.5,-144.6,120.0,bottom
D237,137.7,-143.2,126.0,bottom
D238,139.7,-141.6,132.0,bottom
D239,141.6,-139.7,138.0,bottom
D240,143.2,-137.7,144.0,bottom
D241,144.6,-135.5,150.0,bottom
D242,145.9,-133.2,156.0,bottom
D243,146.8,-130.7,162.0,bottom
D244,147.5,-128.2,168.0,bottom
D245,147.9,-125.6,174.0,bottom
D246,148.0,-123.0,180.0,bottom
D247,147.9,-120.4,-174.0,bottom
D248,147.5,-117.8,-168.0,bottom
D249,146.8,-115.3,-162.0,bottom
D250,145.9,-112.8,-156.0,bottom
D251,144.7,-110.5,-150.0,bottom
D252,143.2,-108.3,-144.0,bottom
D253,141.6,-106.3,-138.0,bottom
D254,139.7,-104.4,-132.0,bottom
D255,137.7,-102.8,-126.0,bottom
D256,135.5,-101.4,-120.0,bottom
D257,133.2,-100.1,-114.0,bottom
D258,130.7,-99.2,-108.0,bottom
D259,128.2,-98.5,-102.0,bottom
D301,123.0,-93.0,90.0,bottom
D302,119.9,-93.2,96.0,bottom
D303,116.8,-93.7,102.0,bottom
D304,113.7,-94.4,108.0,bottom
D305,110.8,-95.6,114.0,bottom
D306,108.0,-97.0,120.0,bottom
D307,105.3,-98.7,126.0,bottom
D308,102.9,-100.7,132.0,bottom
D309,100.7,-102.9,138.0,bottom
D310,98.8,-105.4,144.0,bottom
D311,97.0,-108.0,150.0,bottom
D312,95.6,-110.8,156.0,bottom
D313,94.4,-113.7,162.0,bottom
D314,93.7,-116.8,168.0,bottom
D315,93.2,-119.9,174.0,bottom
D316,93.0,-123.0,180.0,bottom
D317,93.2,-126.1,-174.0,bottom
D318,93.7,-129.2,-168.0,bottom
D319,94.4,-132.3,-162.0,bottom
D320,95.6,-135.2,-156.0,bottom
D321,97.0,-138.0,-150.0,bottom
D322,98.7,-140.7,-144.0,bottom
D323,100.7,-143.1,-138.0,bottom
D324,102.9,-145.3,-132.0,bottom
D325,105.4,-147.3,-126.0,bottom
D326,108.0,-149.0,-120.0,bottom
D327,110.8,-150.4,-114.0,bottom
D328,113.7,-151.6,-108.0,bottom
D329,116.8,-152.3,-102.0,bottom
D330,119.9,-152.8,-96.0,bottom
D331,123.0,-153.0,-90.0,bottom
D332,126.1,-152.8,-84.0,bottom
D333,129.2,-152.3,-78.0,bottom
D334,132.3,-151.5,-72.0,bottom
D335,135.2,-150.4,-66.0,bottom
D336,138.0,-149.0,-60.0,bottom
D337,140.7,-147.3,-54.0,bottom
D338,143.1,-145.3,-48.0,bottom
D339,145.3,-143.1,-42.0,bottom
D340,147.3,-140.6,-36.0,bottom
D341,149.0,-138.0,-30.0,bottom
D342,150.4,-135.2,-24.0,bottom
D343,151.6,-132.3,-18.0,bottom
D344,152.4,-129.2,-12.0,bottom
D345,152.8,-126.1,-6.0,bottom
D346,153.0,-123.0,0.0,bottom
D347,152.8,-119.9,6.0,bottom
D348,152.3,-116.8,12.0,bottom
D349,151.6,-113.7,18.0,bottom
D350,150.4,-110.8,24.0,bottom
D351,149.0,-108.0,30.0,bottom
D352,147.3,-105.4,36.0,bottom
D353,145.3,-102.9,42.0,bottom
D354,143.1,-100.7,48.0,bottom
D355,140.6,-98.7,54.0,bottom
D356,138.0,-97.0,60.0,bottom
D357,135.2,-95.6,66.0,bottom
D358,132.3,-94.5,72.0,bottom
D359,129.3,-93.6,78.0,bottom
D401,68.0975,-142.24,180.0,bottom
D402,68.0975,-146.05,180.0,bottom
D403,68.0975,-149.86,180.0,bottom
D404,68.0975,-153.67,180.0,bottom
D405,68.0975,-157.48,180.0,bottom
D406,68.0975,-161.29,180.0,bottom
D407,68.0975,-165.1,180.0,bottom
D408,52.3495,-142.24,180.0,bottom
D409,52.3495,-146.05,180.0,bottom
D410,52.3495,-149.86,180.0,bottom
D411,52.3495,-153.67,180.0,bottom
D412,52.3495,-157.48,180.0,bottom
D413,52.3495,-161.29,180.0,bottom
D501,128.016,-61.468,-90.0,top
D502,152.0,-74.0,90.0,top
D503,52.3495,-165.1,180.0,bottom
D504,123.0,-123.0,90.0,bottom
D505,149.86,-40.132,-90.0,top
D506,149.86,-45.212,90.0,top
FB501,154.0,-88.0,180.0,top
FB502,153.0,-27.75,-90.0,top
J501,156.56,-71.4425,180.0,top
J502,116.596,-26.416,90.0,top
J503,160.217,-53.096,0.0,top
J504,155.3475,-39.39,0.0,top
Q401,56.896,-142.24,180.0,top
Q402,72.644,-165.1,180.0,top
Q403,72.644,-161.29,180.0,top
Q404,72.644,-157.48,180.0,top
Q405,72.644,-153.67,180.0,top
Q406,56.896,-161.29,180.0,top
Q407,72.644,-149.86,180.0,top
Q408,56.896,-157.48,180.0,top
Q409,72.644,-146.05,180.0,top
Q410,56.896,-153.67,180.0,top
Q411,72.644,-142.24,180.0,top
Q412,56.896,-149.86,180.0,top
Q413,56.896,-146.05,180.0,top
Q501,97.4325,-73.8935,-90.0,top
Q502,100.9885,-73.8935,-90.0,top
Q503,104.5445,-73.8935,-90.0,top
Q504,115.062,-73.914,-90.0,top
Q505,120.142,-33.782,90.0,top
Q506,118.618,-73.914,-90.0,top
Q507,108.0535,-73.914,-90.0,top
Q508,136.906,-39.624,0.0,top
Q509,56.896,-165.1,180.0,top
Q510,122.174,-73.914,-90.0,top
Q511,111.506,-73.914,-90.0,top
R201,130.998,-123.952,180.0,top
R301,146.812,-76.962,180.0,top
R401,68.072,-142.24,180.0,top
R402,68.072,-146.05,180.0,top
R403,68.072,-149.86,180.0,top
R404,68.072,-153.67,180.0,top
R405,68.072,-157.48,180.0,top
R406,68.072,-161.29,180.0,top
R407,68.072,-165.1,180.0,top
R408,52.324,-142.24,180.0,top
R409,52.324,-146.05,180.0,top
R410,52.324,-149.86,180.0,top
R411,52.324,-153.67,180.0,top
R412,52.324,-157.48,180.0,top
R413,52.324,-161.29,180.0,top
R414,61.976,-142.24,-90.0,top
R415,59.944,-142.24,90.0,top
R416,77.724,-165.1,-90.0,top
R417,75.692,-165.1,90.0,top
R418,77.724,-161.29,-90.0,top
R419,75.692,-161.29,90.0,top
R420,77.724,-157.48,-90.0,top
R421,75.692,-157.48,90.0,top
R422,77.724,-153.67,-90.0,top
R423,75.692,-153.67,90.0,top
R424,61.976,-161.29,-90.0,top
R425,59.944,-161.29,90.0,top
R426,77.724,-149.86,-90.0,top
R427,51.562,-38.862,-90.0,top
R428,51.308,-65.786,-90.0,top
R429,75.692,-149.86,90.0,top
R430,61.976,-157.48,-90.0,top
R431,59.944,-157.48,90.0,top
R432,77.724,-146.05,-90.0,top
R433,75.692,-146.05,90.0,top
R434,61.976,-153.67,-90.0,top
R435,59.944,-153.67,90.0,top
R436,77.724,-142.24,-90.0,top
R437,75.692,-142.24,90.0,top
R438,61.976,-149.86,-90.0,top
R439,59.944,-149.86,90.0,top
R440,61.976,-146.05,-90.0,top
R441,59.944,-146.05,90.0,top
R442,70.866,-118.364,180.0,top
R501,97.4325,-76.9415,0.0,top
R502,97.4325,-68.8135,0.0,top
R503,109.474,-40.894,90.0,top
R504,97.4325,-70.8455,180.0,top
R505,130.556,-60.706,-90.0,top
R506,100.9885,-76.9415,180.0,top
R507,116.332,-43.7915,-90.0,top
R508,100.9885,-68.8135,0.0,top
R509,100.9885,-70.8455,180.0,top
R510,102.108,-53.848,180.0,top
R511,104.5445,-76.9415,0.0,top
R512,104.5445,-68.8135,0.0,top
R513,115.062,-70.866,0.0,top
R514,115.062,-76.962,0.0,top
R515,104.5445,-70.8455,180.0,top
R516,119.126,-29.972,-90.0,top
R517,120.142,-36.83,180.0,top
R518,108.0535,-76.962,180.0,top
R519,118.618,-70.866,0.0,top
R520,118.618,-76.962,180.0,top
R521,108.0535,-68.834,0.0,top
R522,108.0535,-70.866,180.0,top
R523,121.92,-30.734,180.0,top
R524,52.324,-165.1,0.0,top
R525,133.858,-39.624,-90.0,top
R526,122.174,-76.962,0.0,top
R527,131.826,-39.624,90.0,top
R528,122.174,-68.834,180.0,top
R529,61.976,-165.1,90.0,top
R530,139.954,-40.64,90.0,top
R531,144.78,-41.656,180.0,top
R532,59.944,-165.1,-90.0,top
R533,122.174,-70.866,0.0,top
R534,144.78,-43.688,180.0,top
R535,111.506,-76.962,0.0,top
R536,111.506,-68.834,0.0,top
R537,111.506,-70.866,180.0,top
U201,122.936,-122.936,0.0,top
U301,138.684,-75.692,0.0,top
U401,84.328,-60.833,0.0,top
U402,50.292,-46.736,90.0,top
U403,50.292,-73.66,90.0,top
U404,84.328,-48.26,0.0,top
U405,62.738,-117.348,0.0,top
U501,164.0,-86.375,90.0,top
U502,141.732,-29.21,180.0,top
U503,116.332,-52.578,0.0,top
Y501,101.981,-59.69,180.0,top
Y502,103.759,-48.768,180.0,top
